Gene ID	Gene Name	Design Element	g1_g2.p-value	g1_g2.t-statistic	g1_g2.log2foldchange
MIMAT0000415	MIMAT0000415	A_25_P00010185	0.895539086273401	-0.237459877778539	-0.0322776378362644
MIMAT0000416	MIMAT0000416	A_25_P00010955	0.862912712339456	0.315520507980534	0.06257123835658
MIMAT0000417	MIMAT0000417	A_25_P00011101	0.5290378830966	1.02829871732886	0.190110389278153
MIMAT0000417	MIMAT0000417	A_25_P00011102	0.160825594662078	2.30711621524321	0.498160960394587
MIMAT0000418	MIMAT0000418	A_25_P00010881	0.25029721199957	-1.92247113491568	-0.314383950299298
MIMAT0000418	MIMAT0000418	A_25_P00010882	0.236512888412205	-1.97094558177638	-0.329780696437986
MIMAT0000419	MIMAT0000419	A_25_P00010761	0.875984349190206	-0.28236276287153	-0.0810158542525414
MIMAT0000419	MIMAT0000419	A_25_P00010762	0.929755693657506	0.165309928982139	0.0346239335125027
MIMAT0000420	MIMAT0000420	A_25_P00010390	0.028406042215468	-3.70581478530359	-0.538593153904865
MIMAT0000420	MIMAT0000420	A_25_P00010391	0.431144216183267	-1.31469453867378	-0.121039097673578
MIMAT0000421	MIMAT0000421	A_25_P00010127	0.789972483320406	-0.4482944527085	-0.0287461902479
MIMAT0000421	MIMAT0000421	A_25_P00010128	0.92087025991233	0.181678596406255	0.0109162133249869
MIMAT0000422	MIMAT0000422	A_25_P00011089	0.367245820663485	-1.52264216773776	-0.21386508551679
MIMAT0000422	MIMAT0000422	A_25_P00011090	0.276483426890181	-1.82870074824921	-0.0705462147324658
MIMAT0000423	MIMAT0000423	A_25_P00010979	0.483658262788759	-1.17201768407038	-0.228001117079635
MIMAT0000423	MIMAT0000423	A_25_P00010980	0.13420882766658	-2.47250197145212	-0.125943875655467
MIMAT0000424	MIMAT0000424	A_25_P00010003	0.326355412774744	-1.63834643249165	-0.165711276261115
MIMAT0000424	MIMAT0000424	A_25_P00010004	0.613474872946757	-0.818537520680867	-0.052658090543817
MIMAT0000425	MIMAT0000425	A_25_P00010439	0.920457302708062	0.183577492074074	0.0479825254077628
MIMAT0000425	MIMAT0000425	A_25_P00010440	0.981787286624214	0.0398898192392475	0.0102126222649161
MIMAT0000426	MIMAT0000426	A_25_P00010588	0.325505441778758	-1.64320309477461	-0.218028614407177
MIMAT0000426	MIMAT0000426	A_25_P00010589	0.301227290493912	-1.72353069506561	-0.164927578415289
MIMAT0000427	MIMAT0000427	A_25_P00010190	0.466021028674648	1.22348130663121	0.363477962564799
MIMAT0000427	MIMAT0000427	A_25_P00010191	0.537377488956167	0.986281564118887	0.20431958790765
MIMAT0000428	MIMAT0000428	A_25_P00010981	NA	3.41256995567133	0.0589934360892723
MIMAT0000429	MIMAT0000429	A_25_P00010616	NA	1.9925532060841	0.0438353225740036
MIMAT0000429	MIMAT0000429	A_25_P00010617	NA	2.17553804481329	0.0408796955514781
MIMAT0000430	MIMAT0000430	A_25_P00010733	0.573472347932048	-0.913924204775041	-0.0513791755802506
MIMAT0000431	MIMAT0000431	A_25_P00010606	0.0894025444906316	-2.79558800314331	-0.609717609094115
MIMAT0000431	MIMAT0000431	A_25_P00010607	0.129879969944339	-2.49846305716098	-0.562409067328041
MIMAT0000432	MIMAT0000432	A_25_P00010547	0.987941341479593	-0.0247994531856815	-0.00115690352654241
MIMAT0000432	MIMAT0000432	A_25_P00010548	0.235213473418998	1.97616524907917	0.0546901638806903
MIMAT0000433	MIMAT0000433	A_25_P00010896	0.270380359581622	-1.84801431254817	-0.560859107713844
MIMAT0000434	MIMAT0000434	A_25_P00011016	0.0452064439990727	-3.35753934725792	-1.43030995877294
MIMAT0000435	MIMAT0000435	A_25_P00011064	0.989667581904144	0.0205598027913524	0.00784150982441911
MIMAT0000435	MIMAT0000435	A_25_P00011065	0.901329899540686	0.221908007856051	0.0557797148624939
MIMAT0000436	MIMAT0000436	A_25_P00010626	0.134906177963581	2.46678855093744	1.03090090651666
